C:\_z-Tree\Data\Channel2\191115_0934.xls
191115_0934	1	EET	
191115_0934	1	session	Subject	FinalProfit	ShowUpFee	ShowUpFeeInvested	MoneyAdded	MoneyToPay	MoneyEarned	PPayoffs[1]	PPayoffs[2]	PPayoffs[3]	PPayoffs[4]	PPayoffs[5]	PPayoffs[6]	PPayoffs[7]	PPayoffs[8]	PPayoffs[9]	PPayoffs[10]	PPayoffs[11]	PPayoffs[12]	IsAuthority	IsInsider	Role	QuestionnaireParticipate	Profit	xScore	yScore	Vote1	Vote2	
191115_0934	1	session	1	37.19528938335898	0	0	0	37.19528938335898	37.19528938335898	29.68431122448979	30	29.95436105476674	30.19528938335899	29.75835616438356	29.98197717108338	30.03730106100796	29.81676280963691	29.70632911392405	30	29.80929351348656	30	0	0	1	1	37.19528938335898	0.5	0.5	0	1	
191115_0934	1	session	2	33.88614800759013	0	0	0	33.88614800759013	33.88614800759013	27.22317981246553	30.26044261011883	28.17589875275128	29.88614800759013	30	30	29.98709584916482	30.31310732023321	36.83544303797468	32.79304029304031	30.69551777434312	29.86878727634194	0	1	2	1	33.88614800759013	0.5	2.5	0	0	
191115_0934	1	session	3	10	0	0	0	10	10	26	22	34	6	22	30	30	30	30	30	30	30	1	0	3	1	10	-77778	-77778	0	0	
191115_0934	1	session	4	37.44257703081233	0	0	0	37.44257703081233	37.44257703081233	32.49460361067504	30.68126022913257	34.28765880217785	30.44257703081233	30.00779404818139	30.0728672985782	30.22036319118548	30.92161520190024	32.31645569620251	26.81818181818182	31.99712960918525	30.82658975723126	0	1	2	1	37.44257703081233	-2.5	2.5	0	0	
191115_0934	1	session	5	33.96078431372548	0	0	0	33.96078431372548	33.96078431372548	29.91071428571429	29.94660392798691	30	29.96078431372549	29.96917808219178	29.9648371808592	29.91319025801784	29.99572446555819	36.063107686663	28.96103896103896	30	30	0	0	1	1	33.96078431372548	0.5	0.5	0	0	
191115_0934	1	session	6	33.51034259857789	0	0	0	33.51034259857789	33.51034259857789	31.20621382881511	30	29.40318302387269	29.5103425985779	30.17902045411898	29.97836389861941	30.00852595680181	30.3562945368171	2.997890295358651	37.46031746031746	29.97642312629345	29.88939092716429	0	0	1	1	33.51034259857789	-0.5	0.5	1	1	
191115_0934	1	session	7	37.24873949579832	0	0	0	37.24873949579832	37.24873949579832	29.90980320699709	30	30	30.24873949579832	30	30	29.93772344596932	29.8616738857063	29.51265822784809	31.36054421768708	29.98403729698228	30	0	0	1	1	37.24873949579832	-0.5	-0.5	1	1	
191115_0934	1	session	8	32.22551877894015	0	0	0	32.22551877894015	32.22551877894015	20.01275510204082	16.81853518821605	27.736009044658	25.22551877894015	29.92419119790149	29.63149240738949	29.61995792554651	27.38430665902202	28.92658227848101	11.28851540616245	26.61197095128198	29.1918489065606	0	0	1	1	32.22551877894015	0.5	0.5	1	1	
191115_0934	1	session	9	35.44216510133465	0	0	0	35.44216510133465	35.44216510133465	31.89738159414709	29.90530745849895	30.21551724137931	31.44216510133465	30.02241594022416	29.94414353419093	30.18723669839287	30.32066508313539	29.64904442789774	29.8524480214621	30.08394180035176	30.01841889837445	0	0	1	1	35.44216510133465	0.5	2.5	0	0	
191115_0934	1	session	10	37.49339735894358	0	0	0	37.49339735894358	37.49339735894358	35.24234693877551	36.6088379705401	30	33.49339735894358	30.08084437457893	30.45181674565561	30.28796419098143	33.8687648456057	42.40717299578059	30.48387096774193	31.44255538382275	30.05112184038625	0	1	2	1	37.49339735894358	2.5	2.5	0	0	
191115_0934	1	session	11	5	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-77777	0	5	-77777	-77777	0	0	
191115_0934	1	summary	
191115_0934	1	timelog	
191115_0934	1	markets	
191115_0934	1	groups	
191115_0934	1	structure	Period	MarketID	IsTraining	Treatment	i	
191115_0934	1	structure	-1	3	1	0	2	
191115_0934	1	structure	0	3	1	0	2	
191115_0934	1	structure	1	3	0	5	2	
191115_0934	1	structure	2	3	0	5	2	
191115_0934	1	structure	3	3	0	5	2	
191115_0934	1	structure	4	3	0	6	2	
191115_0934	1	structure	5	3	0	6	2	
191115_0934	1	structure	6	3	0	6	2	
191115_0934	1	structure	7	3	0	-1	2	
191115_0934	1	structure	8	3	0	-1	2	
191115_0934	1	structure	9	3	0	-1	2	
191115_0934	1	structure	10	3	0	-1	2	
191115_0934	1	structure	11	3	0	-1	2	
191115_0934	1	structure	12	3	0	-1	2	
191115_0934	1	tagnums	TagID	TagNum	
191115_0934	1	tagnums	0	52	
191115_0934	1	tagnums	1	263	
191115_0934	1	tagnums	2	238	
191115_0934	1	tagnums	3	197	
191115_0934	1	tagnums	4	122	
191115_0934	1	tagnums	5	262	
191115_0934	1	tagnums	6	143	
191115_0934	1	tagnums	7	247	
191115_0934	1	tagnums	8	181	
191115_0934	1	tagnums	9	182	
191115_0934	1	tagnums	10	161	
191115_0934	1	tagnums	11	269	
191115_0934	1	tagnums	12	187	
191115_0934	1	tagnums	13	221	
191115_0934	1	tagnums	14	246	
191115_0934	1	tagnums	15	252	
191115_0934	1	tagnums	16	13	
191115_0934	1	tagnums	17	188	
191115_0934	1	tagnums	18	94	
191115_0934	1	tagnums	19	19	
191115_0934	1	tagnums	20	267	
191115_0934	1	tagnums	21	76	
191115_0934	1	tagnums	22	264	
191115_0934	1	tagnums	23	171	
191115_0934	1	tagnums	24	77	
191115_0934	1	tagnums	25	87	
191115_0934	1	tagnums	26	158	
191115_0934	1	tagnums	27	179	
191115_0934	1	tagnums	28	204	
191115_0934	1	tagnums	29	259	
191115_0934	1	tagnums	30	196	
191115_0934	1	tagnums	31	205	
191115_0934	1	tagnums	32	27	
191115_0934	1	tagnums	33	43	
191115_0934	1	tagnums	34	152	
191115_0934	1	tagnums	35	83	
191115_0934	1	tagnums	36	145	
191115_0934	1	tagnums	37	175	
191115_0934	1	tagnums	38	235	
191115_0934	1	tagnums	39	201	
191115_0934	1	tagnums	40	147	
191115_0934	1	tagnums	41	153	
191115_0934	1	tagnums	42	194	
191115_0934	1	tagnums	43	137	
191115_0934	1	tagnums	44	163	
191115_0934	1	tagnums	45	176	
191115_0934	1	tagnums	46	245	
191115_0934	1	tagnums	47	271	
191115_0934	1	tagnums	48	108	
191115_0934	1	tagnums	49	32	
191115_0934	1	tagnums	50	216	
191115_0934	1	tagnums	51	229	
191115_0934	1	tagnums	52	134	
191115_0934	1	tagnums	53	59	
191115_0934	1	tagnums	54	132	
191115_0934	1	tagnums	55	218	
191115_0934	1	tagnums	56	105	
191115_0934	1	tagnums	57	167	
191115_0934	1	tagnums	58	273	
191115_0934	1	tagnums	59	140	
191115_0934	1	tagnums	60	164	
191115_0934	1	tagnums	61	26	
191115_0934	1	tagnums	62	280	
191115_0934	1	tagnums	63	209	
191115_0934	1	tagnums	64	234	
191115_0934	1	tagnums	65	99	
191115_0934	1	tagnums	66	274	
191115_0934	1	tagnums	67	251	
191115_0934	1	tagnums	68	178	
191115_0934	1	tagnums	69	265	
191115_0934	1	tagnums	70	47	
191115_0934	1	tagnums	71	20	
191115_0934	1	tagnums	72	275	
191115_0934	1	tagnums	73	157	
191115_0934	1	tagnums	74	270	
191115_0934	1	tagnums	75	62	
191115_0934	1	tagnums	76	129	
191115_0934	1	tagnums	77	148	
191115_0934	1	tagnums	78	266	
191115_0934	1	tagnums	79	42	
191115_0934	1	tagnums	80	155	
191115_0934	1	tagnums	81	149	
191115_0934	1	tagnums	82	126	
191115_0934	1	tagnums	83	192	
191115_0934	1	tagnums	84	98	
191115_0934	1	tagnums	85	277	
191115_0934	1	tagnums	86	97	
191115_0934	1	tagnums	87	225	
191115_0934	1	tagnums	88	191	
191115_0934	1	tagnums	89	115	
191115_0934	1	tagnums	90	177	
191115_0934	1	tagnums	91	212	
191115_0934	1	tagnums	92	18	
191115_0934	1	tagnums	93	159	
191115_0934	1	tagnums	94	243	
191115_0934	1	tagnums	95	120	
191115_0934	1	tagnums	96	116	
191115_0934	1	tagnums	97	41	
191115_0934	1	tagnums	98	75	
191115_0934	1	tagnums	99	257	
191115_0934	1	tagnums	100	45	
191115_0934	1	tagnums	101	71	
191115_0934	1	tagnums	102	81	
191115_0934	1	tagnums	103	222	
191115_0934	1	tagnums	104	244	
191115_0934	1	tagnums	105	80	
191115_0934	1	tagnums	106	133	
191115_0934	1	tagnums	107	198	
191115_0934	1	tagnums	108	54	
191115_0934	1	tagnums	109	106	
191115_0934	1	tagnums	110	96	
191115_0934	1	tagnums	111	183	
191115_0934	1	tagnums	112	24	
191115_0934	1	tagnums	113	170	
191115_0934	1	tagnums	114	101	
191115_0934	1	tagnums	115	35	
191115_0934	1	tagnums	116	174	
191115_0934	1	tagnums	117	85	
191115_0934	1	tagnums	118	51	
191115_0934	1	tagnums	119	57	
191115_0934	1	tagnums	120	118	
191115_0934	1	tagnums	121	79	
191115_0934	1	tagnums	122	237	
191115_0934	1	tagnums	123	166	
191115_0934	1	tagnums	124	154	
